567.4245	213.8345
383.5235	324.4315
686.1471	218.3677
103.5890	29.69
447.5095	150.4776
593.5020	999.6987
917.2492	353.0441
644.4152	81.2374
449.7400	146.787
764.6786	79.2566
735.2523	632.4871
282.9845	809.1591
579.5529	90.6463
697.2841	768.8767
712.5004	166.5424
118.8797	491.8792
384.8468	7.4762
243.8525	312.7238
293.4236	296.518
883.7769	278.0234
798.9120	191.1649
698.5139	523.4282
937.5205	408.2542
685.0451	648.3292
958.3435	784.2707
301.0680	815.6538
457.2919	581.915
781.5277	696.3387
151.0393	90.7766
831.4186	778.8539
3.2147	514.8288
792.3575	587.1026
736.1448	460.1975
38.3483	991.8379
295.9484	346.5694
318.6020	269.2029
704.8705	383.183
238.4053	290.9067
58.7925	730.6809
525.0188	226.4572
